"ciudad","anio","modalidad_de_contratacion","contratos","valor"
"Moniquirá","2022","Selección abreviada subasta inversa","2","220650329"
"Tuta","2023","Selección Abreviada de Menor Cuantía","4","816739990.12"
"Briceño","2025","Concurso de méritos abierto","1","240000000"
"Sativasur","2026","Contratación régimen especial (con ofertas)","2","195678236.2"
"Sogamoso","2024","Mínima cuantía","223","7485681985.31"
"Caldas","2022","Contratación régimen especial","1","167610000"
"Gachantivá","2022","Contratación régimen especial","12","1109106064.92"
"No Definido","2020","Contratación régimen especial","4","212758395.98"
"Paya","2025","Contratación Directa (con ofertas)","6","5433732761.09"
"Ramiriquí","2025","Licitación pública","1","734261562.02"
"Sativasur","2025","Contratación Directa (con ofertas)","5","149727278"
"Santana","2023","Contratación régimen especial","1","32500000"
"Belén","2025","Mínima cuantía","39","717743720.83"
"Duitama","2021","Mínima cuantía","83","1618973048.25"
"Floresta","2026","Mínima cuantía","32","869679652.90"
"Güicán","2023","Mínima cuantía","1","970120"
"Tinjacá","2021","Contratación régimen especial (con ofertas)","1","133836390"
"Chitaraque","2025","Selección Abreviada de Menor Cuantía","5","1127899463.29"
"Socotá","2024","Mínima cuantía","30","877645580.08"
"Briceño","2023","Contratación Directa (con ofertas)","1","6000000"
"Chiquinquirá","2025","Selección Abreviada de Menor Cuantía","12","2521671965.13"
"Villa De Leyva","2025","Contratación régimen especial (con ofertas)","17","6717928954.97"
"Tutazá","2019","Contratación régimen especial (con ofertas)","6","543324900.35"
"Susacón","2025","Licitación pública Obra Publica","1","603860304.55"
"Puerto Boyacá","2025","Contratación régimen especial","73","3756144782"
"Paipa","2023","Mínima cuantía","48","1080198194.92"
"Boavita","2024","Concurso de méritos abierto","1","55576868"
"San Pablo De Borbur","2023","Mínima cuantía","8","121015661.84"
"Corrales","2024","Concurso de méritos abierto","1","106649706.38"
"Sutatenza","2025","Contratación régimen especial (con ofertas)","3","663174525"
"Sutamarchán","2023","Contratación régimen especial (con ofertas)","4","1368516679.79"
"Pesca","2024","Selección Abreviada de Menor Cuantía","5","1084502635.06"
"Muzo","2025","Contratación directa","1","6312000"
"Muzo","2022","Contratación régimen especial (con ofertas)","3","623868783.89"
"Puerto Boyacá","2024","Contratación directa","595","11550731631.48"
"No Definido","2021","Contratación directa","284","3094771485.38"
"Sutatenza","2020","Contratación directa","1","10000000"
"Sotaquirá","2024","Contratación régimen especial","1","454719493"
"Villa De Leyva","2021","Contratación régimen especial (con ofertas)","8","3510744780"
"Tunja","2025","Licitación pública Obra Publica","10","87002796946.14"
"Nuevo Colón","2025","Contratación régimen especial (con ofertas)","5","948644953"
"Paya","2026","Licitación pública Obra Publica","1","1423080629.83"
"Guateque","2024","Mínima cuantía","61","1207210997.04"
"No Definido","2019","Contratación régimen especial (con ofertas)","18","5226265857"
"No Definido","2022","Contratación directa","350","6342120710.56"
"Moniquirá","2025","Contratación régimen especial","195","20921781357.79"
"Samacá","2024","Selección abreviada subasta inversa","5","4697137150"
"Sáchica","2025","Selección abreviada subasta inversa","2","1150381856"
"Chiquinquirá","2022","Contratación régimen especial","6","228609100"
"Sutamarchán","2026","Selección abreviada subasta inversa","2","642133172"
"Puerto Boyacá","2023","Contratación régimen especial","165","14165438864"
"Macanal","2024","Contratación directa","72","1468719223.69"
"Chiquinquirá","2021","Selección Abreviada de Menor Cuantía","10","1647178360.19"
"Chita","2023","Selección abreviada subasta inversa","2","132999384.8"
"Tenza","2020","Contratación régimen especial (con ofertas)","3","94823633504"
"Briceño","2020","Contratación régimen especial (con ofertas)","1","72600000"
"Villa De Leyva","2026","Concurso de méritos abierto","1","436659000"
"Firavitoba","2026","Selección abreviada subasta inversa","4","440471130"
"Somondoco","2021","Contratación régimen especial (con ofertas)","3","247999910"
"Buenavista","2026","Contratación régimen especial (con ofertas)","7","1897443095.87"
"Miraflores","2017","Contratación régimen especial (con ofertas)","3","731101547"
"Tibasosa","2022","Mínima cuantía","11","173662462"
"Pauna","2022","Contratación régimen especial (con ofertas)","5","1754753816.48"
"Guateque","2023","Contratación régimen especial (con ofertas)","27","12926862969.34"
"Tipacoque","2026","Contratación régimen especial (con ofertas)","2","431687242885"
"Turmequé","2026","Contratación directa","2","180713678.97"
"Sotaquirá","2025","Concurso de méritos abierto","2","179452000"
"Ráquira","2026","Contratación Directa (con ofertas)","2","681100000"
"Puerto Boyacá","2021","Selección abreviada subasta inversa","16","1494780494.25"
"Chiquinquirá","2021","Licitación pública Obra Publica","1","1061534490.11"
"Paya","2026","Mínima cuantía","20","738287576.65"
"Santa Rosa De Viterbo","2022","Contratación régimen especial","1","25236400"
"Sogamoso","2026","Selección abreviada subasta inversa","16","3614939578.32"
"Santa María","2025","Contratación directa","83","3007170466.74"
"Sora","2025","Contratación régimen especial (con ofertas)","2","84957333"
"Tuta","2026","Contratación régimen especial","151","2800532728.35"
"Ramiriquí","2023","Selección Abreviada de Menor Cuantía","7","827688973.20"
"Gachantivá","2021","Contratación régimen especial","9","814714896"
"Boyacá","2024","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","1","621173874.28"
"Betéitiva","2025","Contratación directa","87","2845197540"
"Belén","2020","Contratación régimen especial (con ofertas)","4","853067950"
"Villa De Leyva","2026","Contratación Directa (con ofertas)","2","412592736"
"Cuítiva","2024","Contratación régimen especial (con ofertas)","7","742359116.43"
"Chinavita","2026","Contratación régimen especial (con ofertas)","5","457136958.47"
"Chiquinquirá","2021","Contratación directa","206","1757518075.32"
"Tasco","2025","Selección abreviada subasta inversa","3","414574625.33"
"Iza","2017","Contratación régimen especial (con ofertas)","3","184164500"
"Sogamoso","2020","Selección Abreviada de Menor Cuantía","8","1406388827.71"
"Floresta","2025","Selección Abreviada de Menor Cuantía","1","95980000"
"Cerinza","2024","Contratación Directa (con ofertas)","4","130207074.4"
"Pesca","2026","Mínima cuantía","22","469967112.3"
"Gameza","2021","Contratación régimen especial (con ofertas)","1","242905770"
"Panqueba","2022","Contratación régimen especial (con ofertas)","1","99798500"
"Chivatá","2020","Contratación régimen especial","1","32211135"
"Corrales","2023","Mínima cuantía","6","100799063"
"Puerto Boyacá","2026","Selección Abreviada de Menor Cuantía","8","1919984056"
"Santa María","2024","Selección abreviada subasta inversa","2","450822598"
"Sáchica","2025","Contratación directa","101","3013483761.55"
"Tuta","2025","Contratación régimen especial","122","2287641003.65"
"No Definido","2021","Licitación pública Obra Publica","5","7692911671.19"
"Tunja","2020","Concurso de méritos abierto","8","2726210943"
"Toca","2025","Mínima cuantía","3","7618806"
"No Definido","2023","Mínima cuantía","156","4655694742.50"
"No Definido","2026","Contratación Directa (con ofertas)","4","702547258.62"
"Betéitiva","2025","Selección Abreviada de Menor Cuantía","2","473106393.53"
"Paz De Río","2026","Contratación régimen especial","2","36769000"
"San José De Pare","2018","Contratación régimen especial","1","0"
"San Eduardo","2024","Contratación régimen especial (con ofertas)","1","44154631"
"Covarachía","2025","Mínima cuantía","43","919139519.73"
"Pauna","2024","Contratación directa","129","2142957760"
"Toca","2026","Mínima cuantía","2","9096000"
"Briceño","2024","Contratación régimen especial (con ofertas)","7","1052592396.93"
"Paya","2025","Selección Abreviada de Menor Cuantía","3","873115374.33"
"Villa De Leyva","2019","Contratación régimen especial (con ofertas)","2","307398307"
"Tipacoque","2025","Contratación directa","2","111626645.61"
"Tota","2026","Mínima cuantía","23","599851149.88"
"Ramiriquí","2022","Contratación directa","3","4028500000"
"Pesca","2025","Selección Abreviada de Menor Cuantía","5","1193631272.66"
"Nobsa","2024","Contratación Directa (con ofertas)","5","1091278523.3"
"Briceño","2025","Selección Abreviada de Menor Cuantía","8","967687072.72"
"Tunja","2026","Contratación directa","6254","315703495892.34"
"Aquitania","2024","Contratación directa","142","2376615162.43"
"Siachoque","2025","Contratación directa","2","4000000"
"Pauna","2024","Selección abreviada subasta inversa","4","1092261656"
"Gachantivá","2026","Contratación Directa (con ofertas)","1","104034000"
"Almeida","2021","Contratación régimen especial (con ofertas)","4","379132899"
"Labranzagrande","2022","Contratación régimen especial (con ofertas)","1","169998475"
"San Mateo","2023","Mínima cuantía","5","69974232.65"
"Gachantivá","2025","Licitación pública Obra Publica","1","1547992440.44"
"Chiquinquirá","2023","Contratación régimen especial","23","408941164"
"Betéitiva","2023","Contratación régimen especial (con ofertas)","11","1754098208.47"
"Tinjacá","2024","Mínima cuantía","28","614175307.39"
"Tuta","2024","Contratación régimen especial (con ofertas)","11","4521628499.94"
"Sogamoso","2022","Contratación directa","1573","41002206440.80"
"Belén","2025","Contratación régimen especial (con ofertas)","9","3098427910"
"Jenesano","2025","Contratación régimen especial (con ofertas)","10","2430860427"
"Floresta","2025","Selección abreviada subasta inversa","1","73300000"
"Tunja","2026","Selección Abreviada de Menor Cuantía","30","15640608982.14"
"Villa De Leyva","2025","Mínima cuantía","35","1149736030.45"
"Sáchica","2023","Contratación régimen especial (con ofertas)","4","1140177522.51"
"Corrales","2023","Contratación régimen especial (con ofertas)","4","1076850371.51"
"Chiquinquirá","2024","Selección abreviada subasta inversa","4","681605821.13"
"Guateque","2025","Selección Abreviada de Menor Cuantía","6","826062922.66"
"Samacá","2023","Concurso de méritos abierto","1","140170100"
"Motavita","2020","Contratación régimen especial (con ofertas)","8","929615069.58"
"Samacá","2024","Contratación régimen especial","79","970125372.52"
"Villa De Leyva","2021","Licitación pública","1","420028016"
"Sogamoso","2024","Contratación directa","1958","65631273963.84"
"Tibasosa","2025","Concurso de méritos abierto","7","1106148532"
"Sotaquirá","2023","Contratación régimen especial","1","21700000"
"Cerinza","2020","Contratación régimen especial (con ofertas)","1","140449725"
"Chivatá","2026","Contratación Directa (con ofertas)","2","188470618.68"
"Motavita","2023","Contratación régimen especial (con ofertas)","9","1923806150.66"
"Macanal","2023","Contratación régimen especial (con ofertas)","5","1391257655.57"
"La Uvita","2025","Selección Abreviada de Menor Cuantía","3","756209869.11"
"Sogamoso","2021","Concurso de méritos abierto","4","808366143.4"
"Aquitania","2026","Selección Abreviada de Menor Cuantía","3","736795533"
"Tutazá","2023","Contratación régimen especial (con ofertas)","6","748316684.24"
"Chitaraque","2019","Contratación régimen especial","1","322423836"
"Villa De Leyva","2026","Selección abreviada subasta inversa","6","1445498000"
"Maripí","2023","Contratación directa","24","189760838"
"Berbeo","2026","Contratación directa","86","1449960198"
"Villa De Leyva","2023","Selección Abreviada de Menor Cuantía","19","3257807174.19"
"Pisba","2026","Contratación régimen especial (con ofertas)","2","495683059.98"
"San Mateo","2026","Mínima cuantía","39","893458048.22"
"Sotaquirá","2026","Contratación directa","96","2063150191.33"
"San José De Pare","2025","Contratación régimen especial (con ofertas)","10","1357779530.66"
"Tunja","2019","Licitación pública","5","11515159070.97"
"Tunja","2026","Mínima cuantía","251","12104496629.08"
"Floresta","2020","Contratación régimen especial (con ofertas)","2","319510000"
"Chivor","2019","Contratación régimen especial (con ofertas)","1","304120760"
"Covarachía","2025","Contratación régimen especial","6","1678258474"
"Paya","2018","Contratación Directa (con ofertas)","6","911784159"
"Garagoa","2022","Contratación régimen especial (con ofertas)","1","11222260145.02"
"Socha","2025","Contratación régimen especial (con ofertas)","2","626172322"
"Chivatá","2026","Mínima cuantía","23","808906925.58"
"Macanal","2025","Selección abreviada subasta inversa","8","3005034453"
"Puerto Boyacá","2022","Contratación régimen especial (con ofertas)","1","1"
"Briceño","2024","Concurso de méritos abierto","1","51000000"
"Villa De Leyva","2024","Contratación régimen especial","16","570006247.65"
"Umbita","2025","Contratación régimen especial (con ofertas)","4","1043469432.24"
"Macanal","2018","Contratación régimen especial (con ofertas)","4","781038202"
"Sáchica","2026","Selección Abreviada de Menor Cuantía","11","2599490361.63"
"Tota","2024","Contratación Directa (con ofertas)","3","172384968"
"Paipa","2022","Contratación directa","34","230100984"
"Chinavita","2019","Contratación régimen especial (con ofertas)","3","499304921"
"Nobsa","2025","Contratación régimen especial (con ofertas)","17","12571709963.69"
"La Uvita","2023","Contratación régimen especial (con ofertas)","11","6316118204.25"
"Soatá","2026","Mínima cuantía","18","533352445.48"
"Soatá","2022","Contratación régimen especial (con ofertas)","2","451403700"
"Tópaga","2025","Contratación régimen especial","2","55864242"
"Chivatá","2026","Selección Abreviada de Menor Cuantía","4","963838088.21"
"Betéitiva","2025","Concurso de méritos abierto","2","427259362"
"Iza","2023","Contratación directa","4","20700000"
"Paipa","2024","Mínima cuantía","16","343452696.3"
"Soracá","2023","Contratación régimen especial (con ofertas)","2","262559532"
"Pisba","2023","Selección Abreviada de Menor Cuantía","1","342087363"
"Siachoque","2021","Contratación régimen especial (con ofertas)","1","301022659"
"No Definido","2026","Contratación régimen especial (con ofertas)","49","18833867869.04"
"Garagoa","2026","Selección abreviada subasta inversa","3","2317566834.47"
"Macanal","2024","Mínima cuantía","52","1560575421.35"
"Nuevo Colón","2021","Contratación régimen especial","1","3600000"
"Iza","2025","Concurso de méritos abierto","2","187741297"
"Caldas","2024","Mínima cuantía","28","610540589.9"
"Tunja","2022","Contratación directa","7057","283421483391.74"
"Saboyá","2021","Contratación régimen especial (con ofertas)","4","1243897415"
"Covarachía","2026","Contratación directa","69","1190204921.6"
"Soatá","2025","Contratación régimen especial (con ofertas)","5","2847257191.07"
"Berbeo","2021","Contratación régimen especial (con ofertas)","4","229868595"
"Villa De Leyva","2025","Selección Abreviada de Menor Cuantía","11","1831636817"
"Tutazá","2020","Contratación régimen especial (con ofertas)","7","562480327"
"Santa Sofía","2026","Contratación régimen especial (con ofertas)","3","1121022259"
"Chivatá","2026","Selección abreviada subasta inversa","4","785194004.88"
"Susacón","2024","Selección abreviada subasta inversa","1","90000000"
"San Pablo De Borbur","2024","Licitación pública","1","377634226.67"
"Maripí","2021","Contratación régimen especial (con ofertas)","4","655947522"
"Togüí","2018","Contratación régimen especial","3","539134629"
"Sogamoso","2022","Selección abreviada subasta inversa","36","8958380609.59"
"Pisba","2026","Contratación directa","103","2388334732.76"
"San Mateo","2022","Contratación régimen especial (con ofertas)","4","818746700.89"
"San Mateo","2024","Selección abreviada subasta inversa","2","131731341"
"Tinjacá","2026","Selección Abreviada de Menor Cuantía","4","342662967.67"
"Villa De Leyva","2023","Licitación pública Obra Publica","7","4830023909.53"
"Sotaquirá","2023","Mínima cuantía","13","143334552.73"
"Ráquira","2025","Contratación régimen especial (con ofertas)","10","2912879385.01"
"Coper","2023","Contratación directa","12","40918000"
"Labranzagrande","2023","Contratación régimen especial (con ofertas)","2","557216080"
"Güicán","2025","Contratación directa","1","6200000"
"Boavita","2025","Licitación pública Obra Publica","2","1015398878.23"
"Paya","2025","Enajenación de bienes con subasta","1","39100000"
"Puerto Boyacá","2022","Selección Abreviada de Menor Cuantía","29","4993356929"
"Briceño","2026","Mínima cuantía","36","1017114459.19"
"Cerinza","2026","Mínima cuantía","22","443996790.28"
"Sativanorte","2024","Contratación régimen especial","1","17000000"
"Campohermoso","2020","Contratación régimen especial (con ofertas)","6","514185369"
"Rondón","2020","Contratación régimen especial (con ofertas)","2","192953846"
"Sutamarchán","2025","Selección abreviada subasta inversa","5","931197138"
"Samacá","2025","Licitación pública Obra Publica","2","1406915460"
"Güicán","2025","Mínima cuantía","5","29809999"
"Betéitiva","2022","Contratación régimen especial","6","29750000"
"Caldas","2021","Contratación régimen especial (con ofertas)","5","556337485"
"Socha","2024","Contratación régimen especial (con ofertas)","11","4152189574.4"
"Gameza","2022","Contratación régimen especial (con ofertas)","5","509595245.26"
"Pesca","2024","Contratación régimen especial","80","1025694497"
"Tibasosa","2026","Licitación pública","2","1429057343"
"Chitaraque","2024","Contratación régimen especial (con ofertas)","4","1309835531.44"
"Boyacá","2024","Selección abreviada subasta inversa","4","721697948.62"
"Tasco","2024","Contratación Directa (con ofertas)","2","136434203.9"
"Belén","2024","Contratación directa","101","1615739910.97"
"No Definido","2026","Contratación directa","783","22215699602.71"
"El Cocuy","2026","Contratación directa","80","1665597449.5"
"Aquitania","2026","Mínima cuantía","31","1088531330.38"
"Chiquinquirá","2024","Concurso de méritos abierto","1","173920809.72"
"Paya","2019","Contratación Directa (con ofertas)","2","351983590"
"Chiquinquirá","2022","Mínima cuantía","88","1627692631.02"
"Corrales","2023","Selección Abreviada de Menor Cuantía","1","144212530"
"Aquitania","2022","Selección Abreviada de Menor Cuantía","1","31203495"
"Rondón","2024","Contratación régimen especial (con ofertas)","4","638490174.15"
"Sogamoso","2021","Contratación régimen especial","5","140038500"
"Cucaita","2021","Contratación régimen especial","1","189667150"
"Tunja","2024","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","3","10364954908.3"
"Tunja","2018","Selección abreviada subasta inversa","8","2158680342.63"
"Nobsa","2024","Mínima cuantía","27","779285146.73"
"Chinavita","2025","Contratación régimen especial","3","249675714.29"
"Chitaraque","2026","Selección Abreviada de Menor Cuantía","3","932570897"
"Ramiriquí","2021","Contratación régimen especial (con ofertas)","5","1300189564"
"Chita","2024","Mínima cuantía","12","355288387.21"
"Boavita","2025","Selección Abreviada de Menor Cuantía","8","1403742987.73"
"Puerto Boyacá","2023","Licitación pública","3","5535264911.25"
"Chiquinquirá","2025","Selección abreviada subasta inversa","3","861027259"
"Tasco","2024","Selección Abreviada de Menor Cuantía","4","689814315"
"Tipacoque","2023","Contratación régimen especial","3","791024000"
"Soatá","2018","Contratación directa","17","336555800"
"Tunja","2019","Contratación régimen especial","19","4773438774"
"Cómbita","2024","Contratación directa","127","1925425333.69"
"Sogamoso","2019","Mínima cuantía","21","695625934.17"
"No Definido","2023","Selección Abreviada de Menor Cuantía","24","3435154699.50"
"Miraflores","2025","Licitación pública Obra Publica","5","3067256451.45"
"Quípama","2024","Contratación régimen especial (con ofertas)","6","1844257056.93"
"Maripí","2026","Selección abreviada subasta inversa","3","609900040"
"Samacá","2025","Contratación directa","380","10665928109.33"
"Puerto Boyacá","2022","Contratación régimen especial","70","9328452573"
"Panqueba","2023","Contratación régimen especial (con ofertas)","1","112000000"
"Covarachía","2024","Contratación régimen especial (con ofertas)","8","464178225.02"
"San Eduardo","2020","Mínima cuantía","5","78350295.11"
"Belén","2024","Contratación régimen especial","1","71000000"
"Chiquinquirá","2020","Mínima cuantía","1","2731500"
"Cubará","2026","Contratación directa","2","62293333"
"Tuta","2024","Contratación régimen especial","4","139466728.5"
"Sativanorte","2026","Selección Abreviada de Menor Cuantía","5","786022833.27"
"Tibasosa","2025","Mínima cuantía","59","1385723895.1"
"Firavitoba","2026","Mínima cuantía","30","736637774"
"San Pablo De Borbur","2026","Contratación Directa (con ofertas)","1","191102779"
"Guateque","2022","Contratación régimen especial","2","222100000"
"Sotaquirá","2022","Contratación régimen especial (con ofertas)","4","785815393.26"
"Tota","2025","Selección Abreviada de Menor Cuantía","4","1420340655.94"
"Chita","2023","Mínima cuantía","1","29060910"
"Tinjacá","2025","Contratación régimen especial","1","3256000.14"
"Villa De Leyva","2022","Contratación régimen especial (con ofertas)","11","5796212824.72"
"Covarachía","2021","Mínima cuantía","1","9805600"
"Soatá","2025","Contratación directa","141","2104327108.93"
"Moniquirá","2025","Licitación pública Obra Publica","2","3520194763.75"
"San Pablo De Borbur","2025","Mínima cuantía","71","1626335782.50"
"Tibasosa","2018","Contratación régimen especial (con ofertas)","1","467048400"
"Aquitania","2024","Contratación régimen especial (con ofertas)","8","4288285166.83"
"Puerto Boyacá","2024","Contratación Directa (con ofertas)","34","71585601816"
"Chitaraque","2024","Mínima cuantía","49","1015978234.33"
"Saboyá","2022","Selección Abreviada de Menor Cuantía","2","96050000"
"Pisba","2024","Licitación pública Obra Publica","2","2519432389.77"
"Chiquinquirá","2023","Selección Abreviada de Menor Cuantía","15","2528163106.51"
"Boyacá","2025","Selección abreviada subasta inversa","26","4754254886.63"
"Chinavita","2018","Contratación régimen especial (con ofertas)","1","106795898"
"San Eduardo","2024","Contratación directa","66","1090522899.76"
"Soatá","2023","Selección abreviada subasta inversa","1","51585000"
"Sativanorte","2025","Concurso de méritos abierto","1","111265000"
"No Definido","2026","Licitación pública","2","2034172144.76"
"Sáchica","2026","Contratación directa","97","2340293247.55"
"Rondón","2026","Contratación régimen especial (con ofertas)","2","422806348.98"
"Boyacá","2026","Selección Abreviada de Menor Cuantía","5","1373250592.19"
"Tutazá","2025","Contratación Directa (con ofertas)","2","123923000"
"Samacá","2023","Contratación régimen especial (con ofertas)","11","1780246916.92"
"Belén","2024","Contratación régimen especial (con ofertas)","9","3031814362.27"
"Chiscas","2026","Contratación régimen especial (con ofertas)","5","1238685634.96"
"Pisba","2026","Selección Abreviada de Menor Cuantía","2","491616309.33"
"Monguí","2022","Contratación régimen especial","1","41000000"
"Samacá","2026","Mínima cuantía","34","1008061256"
"Sora","2025","Selección abreviada subasta inversa","2","518657726"
"Tutazá","2025","Contratación directa","4","172560454"
"El Cocuy","2023","Contratación Directa (con ofertas)","3","29577365"
"Chiquinquirá","2022","Licitación pública Obra Publica","4","4918940805.71"
"El Cocuy","2026","Selección Abreviada de Menor Cuantía","4","999610850.33"
"Santana","2026","Selección Abreviada de Menor Cuantía","1","230000000"
"Pauna","2023","Contratación régimen especial (con ofertas)","5","1402390698.47"
"Cómbita","2023","Mínima cuantía","9","164639947"
"Tunja","2023","Licitación pública Obra Publica","20","98148677040.17"
"Quípama","2021","Contratación régimen especial (con ofertas)","2","421162855"
"Tasco","2026","Selección Abreviada de Menor Cuantía","2","289262994.17"
"Chiquinquirá","2023","Concurso de méritos abierto","2","287686063.56"
"Sutamarchán","2023","Mínima cuantía","5","139193713.53"
"Santa Rosa De Viterbo","2026","Mínima cuantía","6","188552000"
"Saboyá","2025","Contratación Directa (con ofertas)","1","6312000"
"Miraflores","2026","Contratación régimen especial (con ofertas)","8","3747122574.66"
"Sativasur","2023","Contratación directa","2","7500000"
"San Mateo","2021","Contratación régimen especial (con ofertas)","1","126677395"
"Moniquirá","2026","Contratación régimen especial","388","60637815756.72"
"Tasco","2026","Contratación Directa (con ofertas)","1","169542757.3"
"San Eduardo","2025","Mínima cuantía","48","806982853.82"
"San Mateo","2024","Contratación directa","46","985976232.20"
"Iza","2026","Selección Abreviada de Menor Cuantía","4","829854608.03"
"Campohermoso","2026","Contratación régimen especial (con ofertas)","8","2360633261.47"
"Villa De Leyva","2020","Contratación régimen especial","2","88100000"
"Caldas","2026","Selección abreviada subasta inversa","3","369923728"
"Tunja","2025","Enajenación de bienes con subasta","1","1686833.7"
"San Mateo","2026","Selección Abreviada de Menor Cuantía","3","327812153.97"
"Gachantivá","2025","Contratación régimen especial (con ofertas)","6","1037250273.85"
"San Pablo De Borbur","2024","Mínima cuantía","46","1130473255.35"
"Nuevo Colón","2023","Mínima cuantía","12","194580461.67"
"Tutazá","2024","Contratación directa","1","15000000"
"Campohermoso","2021","Contratación régimen especial (con ofertas)","2","260553480"
"Tutazá","2018","Contratación régimen especial (con ofertas)","1","110000000"
"Paipa","2026","Contratación directa","85","1053887050.52"
"Cómbita","2023","Contratación directa","17","185740000"
"Covarachía","2022","Contratación régimen especial (con ofertas)","2","6606410"
"Sogamoso","2022","Mínima cuantía","311","8167613664.18"
"Rondón","2025","Contratación régimen especial (con ofertas)","5","1151361247"
"Paya","2025","Mínima cuantía","36","1276700247.24"
"Nuevo Colón","2026","Licitación pública Obra Publica","1","502975614"
"Miraflores","2023","Contratación régimen especial (con ofertas)","16","2606389416.76"
"Villa De Leyva","2022","Contratación Directa (con ofertas)","6","522602436.45"
"Sotaquirá","2018","Contratación régimen especial (con ofertas)","3","694087876"
"Viracachá","2018","Contratación régimen especial (con ofertas)","2","77663780"
"Pesca","2018","Contratación régimen especial (con ofertas)","2","529889266"
"Pisba","2020","Contratación régimen especial","1","211060331"
"Santana","2026","Mínima cuantía","29","779254554.94"
"Tunja","2021","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","1","1563099470"
"Oicatá","2024","Mínima cuantía","30","541670448.33"
"Guateque","2020","Mínima cuantía","37","113718291.25"
"Sogamoso","2023","Contratación directa","1818","48621397510.54"
"La Uvita","2021","Contratación régimen especial (con ofertas)","1","89000000"
"Moniquirá","2023","Licitación pública","1","414283555"
"Puerto Boyacá","2025","Contratación directa","561","8819741543.59"
"Sogamoso","2025","Licitación pública","7","31255139646.31"
"Paipa","2026","Contratación régimen especial","38","1682888136"
"Somondoco","2025","Enajenación de bienes con subasta","1","74868749"
"Macanal","2026","Mínima cuantía","41","1357258040.81"
"Miraflores","2023","Mínima cuantía","61","1109471085.96"
"Sogamoso","2020","Contratación Directa (con ofertas)","3","7438640"
"Floresta","2021","Contratación régimen especial (con ofertas)","3","659324000"
"Villa De Leyva","2023","Contratación directa","139","3163277353.96"
"Paya","2023","Mínima cuantía","8","201300342.32"
"Muzo","2026","Contratación régimen especial (con ofertas)","4","2532825732.8"
"Güicán","2024","Contratación directa","2","6600000"
"Sogamoso","2025","Mínima cuantía","240","9305696612.00"
"No Definido","2022","Licitación pública","4","3217618162.34"
"Pauna","2024","Concurso de méritos abierto","2","226040500"
"San Pablo De Borbur","2019","Contratación Directa (con ofertas)","1","561902360"
"Motavita","2026","Contratación directa","71","1552984487"
"Gachantivá","2026","Selección Abreviada de Menor Cuantía","5","1110029036.14"
"Puerto Boyacá","2021","Contratación directa","258","2009276740"
"Cómbita","2022","Contratación régimen especial","20","80970038"
"Tutazá","2024","Contratación régimen especial (con ofertas)","12","4161792431.98"
"Boavita","2022","Selección Abreviada de Menor Cuantía","1","71599992.31"
"Ramiriquí","2023","Contratación régimen especial (con ofertas)","6","2534942770.04"
"Caldas","2024","Contratación régimen especial (con ofertas)","5","802681658.51"
"Chiscas","2024","Contratación directa","2","205691641"
"Covarachía","2022","Contratación régimen especial","5","836048700"
"Somondoco","2026","Contratación régimen especial (con ofertas)","1","320360655"
"Sogamoso","2021","Selección abreviada subasta inversa","24","5411463314.06"
"Quípama","2022","Contratación régimen especial (con ofertas)","2","428440717.89"
"Socha","2022","Contratación régimen especial","16","297923496"
"Sogamoso","2025","Contratación régimen especial","7","108115342"
"Duitama","2026","Licitación pública","2","12729732888"
"Duitama","2025","Contratación Directa (con ofertas)","20","1796474831.8"
"Cuítiva","2023","Contratación régimen especial (con ofertas)","6","981697443.22"
"Somondoco","2026","Mínima cuantía","34","835465061.05"
"San Miguel De Sema","2025","Contratación régimen especial (con ofertas)","5","1253363908"
"Tunja","2024","Concurso de méritos abierto","12","3320234315.60"
"Tibasosa","2022","Contratación régimen especial","8","3036075389.89"
"Samacá","2025","Contratación régimen especial (con ofertas)","14","20179283452"
"Miraflores","2024","Contratación directa","181","2681377016.46"
"Paipa","2023","Selección abreviada subasta inversa","1","99999950"
"Sotaquirá","2026","Selección Abreviada de Menor Cuantía","6","1508021770.63"
"Pisba","2024","Mínima cuantía","53","1442252461.98"
"Somondoco","2025","Contratación directa","76","1216282147.32"
"Caldas","2022","Mínima cuantía","2","47874964"
"Zetaquira","2024","Contratación régimen especial","88","771651673.76"
"Santana","2024","Selección abreviada subasta inversa","4","388581081"
"San Mateo","2023","Contratación directa","1","1555000"
"San José De Pare","2022","Contratación Directa (con ofertas)","1","65958500"
"Nuevo Colón","2023","Contratación régimen especial","95","836661516"
"Cómbita","2023","Contratación régimen especial","1","5940000"
"No Definido","2026","Mínima cuantía","258","7870734263.57"
"Cucaita","2023","Contratación régimen especial (con ofertas)","14","1373587294.98"
"Coper","2024","Contratación directa","125","1483414988.28"
"Togüí","2021","Contratación régimen especial (con ofertas)","1","395715870"
"Saboyá","2025","Contratación régimen especial","1","116988740"
"Duitama","2022","Contratación régimen especial (con ofertas)","6","3829604772"
"Gachantivá","2025","Selección Abreviada de Menor Cuantía","7","1852553740.61"
"Soatá","2022","Contratación régimen especial","141","6484389307.61"
"Berbeo","2025","Concurso de méritos abierto","1","99985362.11"
"Chiquinquirá","2025","Licitación pública Obra Publica","1","2289322732.15"
